Timestamp,PersonBox,MaskLabel
2025-08-12T17:29:26.189901,"665,6,1830,1068",No Mask
2025-08-12T17:29:26.248752,"185,4,1515,1060",No Mask
2025-08-12T17:29:26.390713,"207,4,1854,1067",No Mask
2025-08-12T17:29:26.524180,"164,0,1873,1066",No Mask
2025-08-12T17:29:26.659452,"696,2,1825,1069",No Mask
2025-08-12T17:29:26.789168,"183,1,1858,1072",No Mask
2025-08-12T17:29:26.924324,"381,4,1828,1070",No Mask
2025-08-12T17:29:27.057704,"166,13,1834,1070",No Mask
2025-08-12T17:29:27.192505,"166,19,1825,1069",No Mask
2025-08-12T17:29:27.320499,"279,24,1810,1068",No Mask
2025-08-12T17:29:27.459299,"312,28,1786,1069",No Mask
2025-08-12T17:29:27.588539,"140,32,1803,1068",No Mask
2025-08-12T17:29:27.727154,"200,35,1812,1070",No Mask
2025-08-12T17:29:27.855648,"295,56,1849,1073",No Mask
2025-08-12T17:29:27.992555,"237,82,1868,1072",No Mask
2025-08-12T17:29:28.125478,"330,87,1860,1070",No Mask
2025-08-12T17:29:28.261383,"427,83,1878,1069",No Mask
2025-08-12T17:29:28.388601,"370,81,1885,1069",No Mask
2025-08-12T17:29:28.523075,"373,78,1874,1069",No Mask
2025-08-12T17:29:28.658617,"382,76,1877,1070",No Mask
2025-08-12T17:29:28.793918,"376,79,1866,1070",No Mask
2025-08-12T17:29:28.922241,"409,82,1859,1071",No Mask
2025-08-12T17:29:29.060025,"427,81,1869,1070",No Mask
2025-08-12T17:29:29.190706,"403,78,1870,1070",No Mask
2025-08-12T17:29:29.328099,"409,78,1858,1070",No Mask
2025-08-12T17:29:29.454337,"385,67,1853,1070",No Mask
2025-08-12T17:29:29.593142,"308,49,1849,1069",No Mask
2025-08-12T17:29:29.722080,"256,28,1857,1071",No Mask
2025-08-12T17:29:29.860177,"193,31,1784,1070",No Mask
2025-08-12T17:29:29.989988,"388,26,1754,1069",No Mask
2025-08-12T17:29:30.126424,"69,25,1727,1070",No Mask
2025-08-12T17:29:30.257977,"63,35,1726,1071",No Mask
2025-08-12T17:29:30.394793,"57,41,1718,1072",No Mask
2025-08-12T17:29:30.521238,"55,41,1725,1072",No Mask
2025-08-12T17:29:30.659418,"70,37,1735,1073",No Mask
2025-08-12T17:29:30.791928,"40,39,1763,1071",No Mask
2025-08-12T17:29:30.923306,"43,37,1775,1071",No Mask
2025-08-12T17:29:31.059754,"37,32,1794,1073",No Mask
2025-08-12T17:29:31.324855,"73,48,1794,1071",No Mask
2025-08-12T17:29:31.458763,"71,40,1791,1074",No Mask
2025-08-12T17:29:31.590658,"71,45,1772,1072",No Mask
2025-08-12T17:29:31.728128,"71,46,1760,1072",No Mask
2025-08-12T17:29:31.858398,"65,49,1794,1072",No Mask
2025-08-12T17:29:31.990397,"54,46,1772,1071",No Mask
2025-08-12T17:29:32.129457,"66,46,1785,1072",No Mask
2025-08-12T17:29:32.255675,"56,47,1813,1072",No Mask
2025-08-12T17:29:32.391387,"55,49,1799,1073",No Mask
2025-08-12T17:29:32.529837,"52,49,1780,1072",No Mask
